Year;Month;Unfälle mit Personenschaden - innerorts;Unfälle mit Personenschaden - außerorts (ohne Autobahnen);Unfälle mit Personenschaden - auf Autobahnen;Unfälle mit Personenschaden - Insgesamt;Schwerwiegende Unfälle mit Sachschaden i.e.S - innerorts;Schwerwiegende Unfälle mit Sachschaden i.e.S - außerorts (ohne Autobahnen);Schwerwiegende Unfälle mit Sachschaden i.e.S - auf Autobahnen;Schwerwiegende Unfälle mit Sachschaden i.e.S - Insgesamt;Sonst. Unfälle unter dem Einfluss berausch. Mittel - innerorts;Sonst. Unfälle unter dem Einfluss berausch. Mittel - außerorts (ohne Autobahnen);Sonst. Unfälle unter dem Einfluss berausch. Mittel - auf Autobahnen;Sonst. Unfälle unter dem Einfluss berausch. Mittel - Insgesamt;Übrige Sachschadensunfälle - innerorts;Übrige Sachschadensunfälle - außerorts (ohne Autobahnen);Übrige Sachschadensunfälle - auf Autobahnen;Übrige Sachschadensunfälle - Insgesamt;Insgesamt - innerorts;Insgesamt - außerorts (ohne Autobahnen);Insgesamt - auf Autobahnen;Insgesamt - Insgesamt
2011;Januar;10351;4874;1223;16448;3857;2111;1077;7045;930;171;41;1142;111631;30880;8821;151332;126769;38036;11162;175967
2011;Februar;10791;4296;1140;16227;3518;1701;919;6138;853;155;35;1043;102902;26976;7860;137738;118064;33128;9954;161146
2011;März;15055;5236;1278;21569;3842;1438;639;5919;953;118;43;1114;118919;26678;8911;154508;138769;33470;10871;183110
2011;April;18390;6607;1414;26411;3637;1385;695;5717;1066;128;51;1245;117358;29593;9680;156631;140451;37713;11840;190004
2011;Mai;22273;7017;1541;30831;3839;1514;746;6099;1101;135;55;1291;127266;32763;10655;170684;154479;41429;12997;208905
2011;Juni;19534;6979;1654;28167;3762;1593;1014;6369;1197;182;56;1435;116903;27408;10281;154592;141396;36162;13005;190563
2011;Juli;18552;6829;1632;27013;3851;1643;1128;6622;1207;153;58;1418;117705;29377;10700;157782;141315;38002;13518;192835
2011;August;19114;7072;1680;27866;3668;1507;1069;6244;1208;155;57;1420;116236;27481;10380;154097;140226;36215;13186;189627
2011;September;20775;7249;1664;29688;3891;1619;961;6471;1086;168;54;1308;124660;27812;10387;162859;150412;36848;13066;200326
2011;Oktober;18862;7149;1760;27771;4570;1951;970;7491;1224;182;61;1467;129673;34405;11353;175431;154329;43687;14144;212160
2011;November;15853;5824;1324;23001;4296;1914;732;6942;1057;158;45;1260;124262;34551;9370;168183;145468;42447;11471;199386
2011;Dezember;16185;6632;1545;24362;5189;2840;1516;9545;1253;206;63;1522;133247;35370;10672;179289;155874;45048;13796;214718
2012;Januar;13553;5533;1344;20430;4363;2254;1336;7953;986;180;51;1217;116129;32038;9336;157503;135031;40005;12067;187103
2012;Februar;11483;4930;1243;17656;4410;2180;1089;7679;981;147;47;1175;113057;30353;8362;151772;129931;37610;10741;178282
2012;März;16224;5421;1359;23004;3564;1509;604;5677;978;130;60;1168;123822;28207;8482;160511;144588;35267;10505;190360
2012;April;14942;5243;1293;21478;3653;1369;724;5746;1010;141;51;1202;112710;31323;8803;152836;132315;38076;10871;181262
2012;Mai;20802;7030;1523;29355;3698;1482;857;6037;1147;153;46;1346;125462;34801;11244;171507;151109;43466;13670;208245
2012;Juni;19626;6572;1569;27767;3762;1486;956;6204;1135;186;48;1369;123413;29329;10084;162826;147936;37573;12657;198166
2012;Juli;19286;7130;1654;28070;3747;1675;1051;6473;1080;155;44;1279;120052;31335;10328;161715;144165;40295;13077;197537
2012;August;20146;7175;1595;28916;3594;1413;828;5835;1166;154;60;1380;116147;28681;10104;154932;141053;37423;12587;191063
2012;September;19355;6786;1519;27660;3837;1551;875;6263;1177;161;52;1390;116616;30845;9677;157138;140985;39343;12123;192451
2012;Oktober;18071;6449;1602;26122;4381;1910;1053;7344;1089;176;48;1313;129266;37028;10736;177030;152807;45563;13439;211809
2012;November;15864;5454;1360;22678;4290;1886;911;7087;1098;163;55;1316;127164;37247;10883;175294;148416;44750;13209;206375
2012;Dezember;12715;5614;1354;19683;4763;2657;1565;8985;1217;197;66;1480;131507;36794;10275;178576;150202;45262;13260;208724
2013;Januar;11069;5006;1195;17270;4288;2212;1352;7852;963;167;50;1180;112932;35812;9144;157888;129252;43197;11741;184190
