Datum,Autobahn_KFZ_Total,Autobahn_KFZ_Total_Rolling_Average_7_Days,Bundesstrassen_KFZ_Total,Bundesstrassen_KFZ_Total_Rolling_Average_7_Days,Total,Total_Rolling_Average_7_Days
2017-01-01,26975627,26975627.0,3886847,3886847.0,30862474,30862474.0
2017-01-02,41560509,34268068.0,7362853,5624850.0,48923362,39892918.0
2017-01-03,39117647,35884594.333333336,7740331,6330010.333333333,46857978,42214604.66666667
2017-01-04,36828052,36120458.75,7537968,6631999.75,44366020,42752458.5
2017-01-05,39337185,36763804.0,8039175,6913434.8,47376360,43677238.8
2017-01-06,39006267,37137547.833333336,7497735,7010818.166666667,46504002,44148366.0
2017-01-07,31657807,36354727.71428572,5742109,6829574.0,37399916,43184301.71428572
2017-01-08,29209714,36673883.0,4156306,6868068.142857143,33366020,43541951.14285714
2017-01-09,41175427,36618871.28571428,8588842,7043209.428571428,49764269,43662080.71428571
2017-01-10,39907081,36731647.571428575,8501947,7152011.714285715,48409028,43883659.28571429
2017-01-11,41255728,37364172.71428572,8601996,7304015.714285715,49857724,44668188.42857143
2017-01-12,43493472,37957928.0,8988968,7439700.428571428,52482440,45397628.428571425
2017-01-13,42542248,38463068.14285714,8636136,7602329.142857143,51178384,46065397.28571428
2017-01-14,30303106,38269539.428571425,6127566,7657394.428571428,36430672,45926933.85714285
2017-01-15,26828791,37929407.571428575,4544118,7712796.142857143,31372909,45642203.71428572
2017-01-16,42164595,38070717.28571428,8735270,7733714.428571428,50899865,45804431.71428571
2017-01-17,42720007,38472563.85714286,8879450,7787643.428571428,51599457,46260207.28571428
2017-01-18,43675153,38818196.0,8913077,7832083.571428572,52588230,46650279.571428575
2017-01-19,44924345,39022606.428571425,9154543,7855737.142857143,54078888,46878343.57142857
2017-01-20,47555831,39738832.571428575,9547283,7985901.0,57103114,47724733.571428575
2017-01-21,34914810,40397647.428571425,6886194,8094276.428571428,41801004,48491923.85714285
2017-01-22,30356064,40901543.571428575,5178256,8184867.571428572,35534320,49086411.14285715
2017-01-23,43119006,41037888.0,8867969,8203824.571428572,51986975,49241712.571428575
2017-01-24,42798813,41049146.0,8827433,8196393.571428572,51626246,49245539.571428575
2017-01-25,44167076,41119420.71428572,8936638,8199759.428571428,53103714,49319180.14285714
2017-01-26,45732979,41234939.85714286,9244090,8212551.857142857,54977069,49447491.71428572
2017-01-27,49553385,41520304.71428572,9743253,8240547.571428572,59296638,49760852.28571429
2017-01-28,36948684,41810858.14285714,7163038,8280096.714285715,44111722,50090954.85714286
2017-01-29,31418487,41962632.85714286,5166721,8278448.857142857,36585208,50241081.71428572
2017-01-30,43432746,42007452.85714286,8845448,8275231.571428572,52278194,50282684.42857143
2017-01-31,43756776,42144304.71428572,8944905,8292013.285714285,52701681,50436318.0
2017-02-01,44521108,42194880.71428572,9078688,8312306.142857143,53599796,50507186.85714286
2017-02-02,45751764,42197564.28571428,9302786,8320691.285714285,55054550,50518255.57142857
2017-02-03,49141383,42138706.85714286,9720029,8317373.571428572,58861412,50456080.42857143
2017-02-04,37533066,42222190.0,7050570,8301306.714285715,44583636,50523496.71428572
2017-02-05,31960927,42299681.428571425,5172352,8302111.142857143,37133279,50601792.57142857
2017-02-06,44386418,42435920.28571428,9015611,8326420.142857143,53402029,50762340.428571425
2017-02-07,44255093,42507108.428571425,8975280,8330759.428571428,53230373,50837867.85714285
2017-02-08,45107893,42590934.85714286,9026321,8323278.428571428,54134214,50914213.28571428
2017-02-09,46590463,42710749.0,9248071,8315462.0,55838534,51026211.0
2017-02-10,49871666,42815075.14285714,9632858,8303009.0,59504524,51118084.14285714
2017-02-11,36936771,42729890.14285714,6915659,8283736.0,43852430,51013626.14285714
2017-02-12,31884394,42718956.85714286,5210559,8289194.142857143,37094953,51008151.0
2017-02-13,44854230,42785787.14285714,9186406,8313593.428571428,54040636,51099380.57142857
2017-02-14,45038110,42897646.71428572,9394847,8373531.571428572,54432957,51271178.28571429
2017-02-15,46717171,43127543.571428575,9429335,8431105.0,56146506,51558648.571428575
2017-02-16,47646525,43278409.571428575,9547357,8473860.142857144,57193882,51752269.71428572
2017-02-17,51280652,43479693.28571428,9805526,8498527.0,61086178,51978220.28571428
2017-02-18,39539251,43851476.14285714,7171787,8535116.714285715,46711038,52386592.85714286
2017-02-19,33369809,44063678.28571428,5367507,8557537.857142856,38737316,52621216.14285714
2017-02-20,45226540,44116865.428571425,9189928,8558041.0,54416468,52674906.428571425
2017-02-21,44943085,44103290.428571425,9295174,8543802.0,54238259,52647092.428571425
2017-02-22,46363703,44052795.0,9309106,8526626.42857143,55672809,52579421.42857143
2017-02-23,46621156,43906313.71428572,9244356,8483340.57142857,55865512,52389654.28571428
2017-02-24,52474202,44076820.85714286,9745840,8474814.0,62220042,52551634.85714286
2017-02-25,40544851,44220478.0,7137187,8469871.142857144,47682038,52690349.14285714
2017-02-26,32014585,44026874.571428575,5144602,8438027.57142857,37159187,52464902.14285715
2017-02-27,41905142,43552389.14285714,8501504,8339681.285714285,50406646,51892070.428571425
2017-02-28,44564835,43498353.428571425,8948917,8290216.0,53513752,51788569.428571425
2017-03-01,46727959,43550390.0,9382116,8300646.0,56110075,51851036.0
2017-03-02,47845770,43725334.85714286,9617837,8354000.428571428,57463607,52079335.28571428
2017-03-03,52305194,43701190.85714286,10175847,8415430.0,62481041,52116620.85714286
2017-03-04,43002403,44052269.71428572,7797740,8509794.714285715,50800143,52562064.42857143
2017-03-05,36355582,44672412.14285714,5732517,8593782.57142857,42088099,53266194.71428572
2017-03-06,45953831,45250796.28571428,9432186,8726737.142857144,55386017,53977533.428571425
2017-03-07,45616899,45401091.14285714,9450100,8798334.714285715,55066999,54199425.85714286
2017-03-08,46572449,45378875.428571425,9510353,8816654.285714285,56082802,54195529.71428571
2017-03-09,48141331,45421098.428571425,9716251,8830713.42857143,57857582,54251811.85714285
2017-03-10,52192618,45405016.14285714,10313632,8850397.0,62506250,54255413.14285714
2017-03-11,40278119,45015832.71428572,7743368,8842629.57142857,48021487,53858462.28571428
2017-03-12,36989645,45106413.14285714,6306169,8924579.857142856,43295814,54030993.0
2017-03-13,46893916,45240711.0,9579854,8945675.285714285,56473770,54186386.28571428
2017-03-14,46670167,45391177.85714286,9636356,8972283.285714285,56306523,54363461.14285714
2017-03-15,48092365,45608308.71428572,9782956,9011226.57142857,57875321,54619535.28571428
2017-03-16,49614413,45818749.0,10095664,9065428.42857143,59710077,54884177.42857143
2017-03-17,52418584,45851029.85714286,10307748,9064587.857142856,62726332,54915617.71428572
2017-03-18,38729542,45629804.571428575,7357224,9009424.42857143,46086766,54639229.0
2017-03-19,35263212,45383171.28571428,5528007,8898258.42857143,40791219,54281429.71428572
2017-03-20,46830454,45374105.28571428,9549516,8893924.42857143,56379970,54268029.71428572
2017-03-21,46461271,45344263.0,9573636,8884964.42857143,56034907,54229227.42857143
2017-03-22,47731460,45292705.14285714,9706774,8874081.285714285,57438234,54166786.428571425
2017-03-23,49435340,45267123.28571428,9959955,8854694.285714285,59395295,54121817.57142857
2017-03-24,52224316,45239370.71428572,10443664,8874110.857142856,62667980,54113481.571428575
2017-03-25,38748343,45242056.571428575,7926763,8955473.57142857,46675106,54197530.14285715
2017-03-26,36171662,45371835.14285714,6346091,9072342.714285715,42517753,54444177.85714286
2017-03-27,47076419,45406973.0,9735157,9098862.857142856,56811576,54505835.85714286
2017-03-28,46603922,45427351.71428572,9836895,9136471.285714285,56440817,54563823.0
2017-03-29,47848047,45444007.0,9848709,9156747.714285715,57696756,54600754.71428572
2017-03-30,49681028,45479105.28571428,10144793,9183153.142857144,59825821,54662258.428571425
2017-03-31,52895209,45574947.14285714,10762547,9228707.857142856,63657756,54803655.0
2017-04-01,39977475,45750537.428571425,8111759,9255135.857142856,48089234,55005673.28571428
2017-04-02,37504976,45941010.85714286,6614855,9293530.714285715,44119831,55234541.571428575
2017-04-03,47897239,46058270.85714286,9904933,9317784.42857143,57802172,55376055.28571428
2017-04-04,47694533,46214072.428571425,9939603,9332457.0,57634136,55546529.428571425
2017-04-05,48920035,46367213.571428575,9993698,9353169.714285715,58913733,55720383.28571429
2017-04-06,50824039,46530500.85714286,10271448,9371263.285714285,61095487,55901764.14285714
2017-04-07,55257700,46867999.571428575,10680509,9359543.57142857,65938209,56227543.14285715
2017-04-08,44074385,47453272.428571425,7953583,9336947.0,52027968,56790219.428571425
2017-04-09,38940174,47658300.71428572,6923772,9381078.0,45863946,57039378.71428572
2017-04-10,48257898,47709823.428571425,9739465,9357439.714285715,57997363,57067263.14285714
2017-04-11,48055056,47761326.71428572,9795160,9336805.0,57850216,57098131.71428572
2017-04-12,51654874,48152018.0,9985456,9335627.57142857,61640330,57487645.57142857
2017-04-13,57349708,49084256.428571425,10636691,9387805.142857144,67986399,58472061.57142857
2017-04-14,41017934,47050004.14285714,6020697,8722117.714285715,47038631,55772121.85714286
2017-04-15,35421450,45813870.571428575,7219953,8617313.42857143,42641403,54431184.0
2017-04-16,33173041,44989994.428571425,5637219,8433520.142857144,38810260,53423514.57142857
2017-04-17,42566090,44176879.0,6188554,7926247.142857143,48754644,52103126.14285714
2017-04-18,50359910,44506143.85714286,9639520,7904012.857142857,59999430,52410156.71428572
2017-04-19,48311586,44028531.28571428,9475347,7831140.142857143,57786933,51859671.428571425
2017-04-20,49655602,42929373.28571428,9846927,7718316.714285715,59502529,50647690.0
2017-04-21,52728833,44602358.85714286,10165638,8310451.142857143,62894471,52912810.0
2017-04-22,41719414,45502068.0,7575002,8361172.428571428,49294416,53863240.428571425
2017-04-23,38441057,46254641.71428572,5953955,8406420.42857143,44395012,54661062.14285715
2017-04-24,48668810,47126458.85714286,9844993,8928768.857142856,58513803,56055227.71428572
2017-04-25,48023766,46792724.0,9796994,8951265.142857144,57820760,55743989.14285714
2017-04-26,49117224,46907815.14285714,9852561,9005152.857142856,58969785,55912968.0
2017-04-27,51564180,47180469.14285714,10246872,9062287.857142856,61811052,56242757.0
2017-04-28,56501809,47719465.71428572,10937938,9172616.42857143,67439747,56892082.14285715
2017-04-29,42888241,47886441.0,8203696,9262429.857142856,51091937,57148870.85714286
2017-04-30,35690822,47493550.28571428,6979875,9408989.857142856,42670697,56902540.14285714
2017-05-01,35446212,45604607.71428572,5813366,8833043.142857144,41259578,54437650.85714286
2017-05-02,48790461,45714135.571428575,10046679,8868712.42857143,58837140,54582848.0
2017-05-03,48111277,45570428.85714286,9940744,8881310.0,58052021,54451738.85714286
2017-05-04,49401882,45261529.14285714,10114380,8862382.57142857,59516262,54123911.71428572
2017-05-05,53605546,44847777.28571428,10650485,8821317.857142856,64256031,53669095.14285714
